Position,Company,Location,Industry,Posted On,Extracted On,Job Type,Qualification,Job Description,Job Id,Experience,Start Date,End Date,Source
Senior Software Engineer - (Remote),Orange Logic,Seattle WC,Computer Software,,,,,"For more than two decades, Orange Logic has empowered a wide range of clients with its digital asset management system, Cortex. We’ve worked with almost every industry, from finance to NGOs, museums to educational institutions, securing and organizing their assets. For this role you’ll work with a team of top developers to build flexible, scalable, and streamlined systems that will define the future of business management.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2382702098&distance=25&geoId=104116203&keywords=software%20developer%20intern&start=200
Software Engineer II - Application Backend,Twitter,,Internet,,,,,"You’ll be part of a small team working on high-impact and challenging services, tools and libraries. The dynamic configuration system makes the product more flexible, dependable and simple to use. You’ll be responsible for adding criteria and features to the rules engine that supports the configurations. You’ll help with internal tools designed to help other engineers configure, test and validate product feature configuration settings. You’ll implement new features for our in-app survey product.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2383863695&distance=25&geoId=104116203&keywords=web%20developer&start=50
Senior Software Engineer,Pariveda SolutionMay nagm,Seattle WC,Financial Services,,,,,"If you are into programming, working in small teams, and solving complex problems using the latest in Cloud, Mobile, and Web technologies, Pariveda Solutions is the company for you. Our Seattle team is growing and looking for lead software developers who want to design, develop, and deliver enterprise-level applications. This is an opportunity to expand your knowledge of full life cycle development, gain direct client exposure, and grow junior team members.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2385520637&distance=25&geoId=104116203&keywords=software%20developer%20intern&start=200
"Senior Software Engineer, Integrations",Protingent,Seattle WC,Information Technology & Servicess,,,,,"About Protingent: Protingent is a niche provider of top Engineering and IT talent to Software, Electronics, Medical Device, Telecom, and Aerospace companies nationwide. Protingent exists to make a positive impact and contribution to the lives of others as well as our community by providing relevant, rewarding, and exciting work opportunities for our candidates
Protingent Staffing has an exciting Direct Hire opportunity with our client in Vancouver, Canada.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2386766467&distance=25&geoId=104116203&keywords=software%20developer%20intern&location=Seattle%2C%20Washington%2C%20United%20States&start=225
Virtual HBOMax Software Engineer Intern,WarnerMedia,Seattle WC,Electrical Equipment,,,,,"Build the future of Streaming Media with us! We are the team that architects, codifies, owns and operates the scalable and resilient infrastructure that powers HBO’s flagship streaming products HBO Max and HBO Go. Our products are enjoyed by millions of customers around the world. We are software engineers with a passion for infrastructure, automation, tooling and security. Building reliability, performance and security into our streaming products is our mission. We are evangelists for infrastructure as code, continuous delivery, operational visibility and strongly believe that automation is the key to delivering reliable systems. We are looking for a senior engineer to help us expand our infrastructure as code efforts and to help us scale HBO Max globally!",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2386776761&geoId=104116203&keywords=software%20internship&location=Seattle%2C%20Washington%2C%20United%20States
Design Manager - Web Animator / Front End Developer,PwC,Seattle WC,Non-profit organization,,,,,"To really stand out and make us fit for the future in a constantly changing world, each and every one of us at PwC needs to be a purpose-led and values-driven leader at every level. To help us achieve this we have the PwC Professional; our global leadership development framework. It gives us a single set of expectations across our lines, geographies and career paths, and provides transparency on the skills we need as individuals to be successful and progress in our careers, now and in the future.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2386918844&distance=25&geoId=104116203&keywords=web%20developer&start=75
Software Engineer Intern,DocuSign,Seattle WC,Service Sector,,,,,"We are building an exciting open-source platform that will be used to engage with DocuSign developers world wide. In this software engineering role, you will be coding along side other engineers on team to develop the platform and you will have the opportunity to impact the project from day one. You will have the rare opportunity to experience a full product life cycle all the way from research, incubation, design, coding (front end and backend), automated testing and be able to learn the best engineering fundamentals along the way.

This position reports to the Technical Advocacy Director.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2387861635&distance=25&geoId=104116203&keywords=internship%20in%20software%20in%20seattle%20washington
Senior Software Engineer Full Stack / Generalist,"WiserCare, Inc.",Seattle WC,Retail/Ecommerce,,,,,"We are currently looking for an experienced engineer to help improve and extend our platform. We are looking for someone who is inventive, curious, creative, communicative, transparent, and gets things done no matter what. Someone who likes to work on the full stack (ours is, at the moment: JavaScript, JQuery, ThymeLeaf, HTML, CSS, Spring Boot, Java, MySQL, Tomcat, AWS). If you are someone who cares about code quality, user experience, customer service and can understand the big picture of the problems we’re trying to solve and get things done without being micromanaged then we want to talk to you!",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2389539998&distance=25&geoId=104116203&keywords=software%20developer%20intern&location=Seattle%2C%20Washington%2C%20United%20States&start=225
Sr. Software Engineer (R1687),Avalara,Seattle WC,Software & Tech Services,,,,,We're building the next generation of services and APIs to support distributing Content to the entire company and are looking for a collaborative team player to join us! We are creating new APIs to parse and process GIS data as a part of our suite of Content APIs.,,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2389766745&distance=25&geoId=104116203&keywords=software%20developer%20intern&start=100
Senior Software Engineer - FullStack,Zipwhip,Seattle WC,Software & Tech Services,,,,,"Will bring your unique set of diverse experiences and background to our team in an open and collaborative manner so that we can all expand and grow faster.
Have a desire to leverage your expertise but also dive into lesser known areas of technology, architecture, or whatever is needed to solve engineering day-to-day challenges.
Have an open and honest communication style that always puts the customer first “Will the customer be delighted with this?”.
Are comfortable dealing with ambiguity and a shifting landscape.
Proposing technology and architectural choices and continuing to evolve best practices for software development to ensure high quality delivery.
Working collaboratively with product managers and stakeholders to design, develop, test, and deliver high quality code on a rapidly evolving product roadmap
Have a strong sense of ownership and accountability for the product you are delivering.
",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2389861534&distance=25&geoId=104116203&keywords=software%20developer%20intern&start=25
Senior Software Engineer,Jobsscan,Seattle WC,Internet,,,,,"We are looking for smart, driven, enthusiastic Senior Software Engineers to help us build the next generation of job search tools. You’ll join our Seattle-based engineering team, delivering new features and tools to our growing user base. You’ll use modern and proven technologies to help us exceed our user’s expectations and scale our tools to an increasingly global audience, working in a fast-paced environment and reporting directly to our CTO. This is a great chance to be part of a growing organization that is passionate about building software the right way as well as continually providing opportunities for professional growth.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2390325615&distance=25&geoId=104116203&keywords=software%20developer%20intern&location=Seattle%2C%20Washington%2C%20United%20States&start=275
Technical Support Engineer,NetMotion Software,Seattle WC,Biotechnology Company,,,,,"NetMotion provides security solutions for millions of devices deployed around the world, including 7 of the 10 largest airlines, 85% of US public safety agencies, and a variety of other major organizations ranging from utilities and healthcare to logistics and legal sectors. Customers choose the NetMotion platform for its powerful software-defined perimeter (SDP / ZTNA), experience monitoring and mobile-first enterprise VPN functionality. These solutions stand out for their ability to actively improve the employee experience, validated by a satisfaction rating of 97% and an NPS of 91. NetMotion is headquartered in Seattle, with offices in Victoria, Chicago, London, Tokyo, Sydney and Frankfurt.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2390422157&distance=25&geoId=104116203&keywords=web%20developer&start=175
Front End Developer,Avanade,Seattle WC,Management consulting company,,,,,"Welcome to the Avanade Digital Innovation Studios, where the best in creative and technology mix it up to push the boundaries of innovation. We're a fast-moving, big-idea-dreaming, mishmash of designers, UX architects, technologists, delivery experts, writers, and more, who, when brought together, create transformative digital experiences for some of the biggest and best brands on the planet. Sound like a place you wouldn't mind hanging your hat? Great, in North America you can find us in Atlanta, Chicago, Houston, Los Angeles, NYC, Raleigh, Seattle, and Toronto.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2390450917&distance=25&geoId=104116203&keywords=web%20developer&start=50
Senior Software Development Engineer,Skilijar,Seattle WC,Software & Tech Services,,,,,"We’re looking for a motivated, self-starter who is comfortable wearing multiple hats and thrives in a dynamic environment. You must be nimble, highly-collaborative, and able to think on your feet. This is a great opportunity to join a rapidly accelerating startup that has dozens of Fortune 1000 and mid-market clients on its roster.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2391008583&distance=25&geoId=104116203&keywords=software%20developer%20intern&start=50
Phyton Developer,DISYS,Seattle WC,Information Technology & Servicess,,,,,"Do you like helping customers and partners solve technical problems? Do you have a knack for creative problem solving? We are looking for a Full-Stack Web Developer to join our Seattle, WA based team to work with cutting-edge technologies and interesting companies in a wide variety of fast-paced and exciting environments.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2391017082&keywords=web%20developer%20in%20seattle%20washington
Web Developer,Tommy Bahama,Seattle WC,Apparel & Fashion,,,,,"Tommy Bahama is looking for creative, diverse, and energetic people to help us live the island life! Tommy Bahama has grown to include both men’s and women’s apparel, home and beach goods, and a thriving restaurant and bar business. Everything that bears the Tommy Bahama name is created with an unwavering eye towards quality. More than ever, our focus is on taking our guests someplace great — through exceptional service, upscale products, and delicious food and drinks. Maintaining our unique point of view requires a diverse team that includes apparel designers, e-commerce and technology experts, manufacturing and operations, and, of course, retail and hospitality professionals. We would love to have you share your talents with us!",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2391052800&geoId=104116203&keywords=web%20developer&location=Seattle%2C%20Washington%2C%20United%20States
Software Development Engineer,Skilljar,Seattle WC,Software & Tech Services,,,,,"We’re looking for a motivated, highly-collaborative, self-starter who is comfortable owning and driving the development of new features and services, and has a successful track record building software products in an agile development environment. This is a great opportunity to join a rapidly accelerating startup that has dozens of Fortune 1000 and mid-market clients on its roster.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2391058979&distance=25&geoId=104116203&keywords=software%20developer&location=Seattle%2C%20Washington%2C%20United%20States
Software Engineer Intern,Hewlett Packard Enterprise,Seattle WC,Information Technology & Servicess,,,,,"This internship involves working with the Chapel Programming Language team to help develop Chapel via improvements to its compiler, libraries, tools, and documentation with the goal of making parallel programming from laptops to Crays as accessible as programming in Python. For more information on Chapel, please refer to https://chapel-lang.org",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2391463027&geoId=104116203&keywords=software%20developer%20intern&location=Seattle%2C%20Washington%2C%20United%20States
Senior Software Engineer,Booksource,Seattle WC,Education Domain,,,,,"The Senior Software Engineer - Cloud Native Services will be responsible for design, development, and integration of various new and existing technology solutions that supports all aspects of our Investment Operations team: operations, accounting, integration, reporting and other aspects of the business.
As part of the core services team, the Senior Software Engineer - Cloud Native Services will be responsible for the design/architecture and implementation of various cloud native micro services primarily focused on AWS based infrastructure and tooling.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2392046279&distance=25&geoId=104116203&keywords=it%20intership%20seattle%20washington&location=Seattle%2C%20Washington%2C%20United%20States
Senior Software Engineer (Frontend),AspireIQ,Seattle WC,Foreign Profit Corporation,,,,,"We're looking for an experienced product-driven frontend web developer that wants to help us build innovative solutions to support the ongoing success of great brands and their communities across the world. As a Senior Software Engineer, you'll report directly to our Director of Engineering and will work closely with product managers, designers and fellow engineers. You can expect to lead major features and projects on our web applications while working with an open and collaborative team. This position is fully remote.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2392073630&distance=25&geoId=104116203&keywords=software%20developer%20intern&start=50
Senior Software Engineer,AspireIQ,Seattle WC,Foreign Profit Corporation,,,,,"We're looking for an experienced product-driven frontend web developer that wants to help us build innovative solutions to support the ongoing success of great brands and their communities across the world. As a Senior Software Engineer, you'll report directly to our Director of Engineering and will work closely with product managers, designers and fellow engineers. You can expect to lead major features and projects on our web applications while working with an open and collaborative team. This position is fully remote.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2392073630&distance=25&geoId=104116203&keywords=web%20developer&start=75
100% Remote Full Stack Developer,CyberCoders,Seattle WC,Recruiting and Staffing,,,,,"Our Recruiting and Account Management team, of more than 150 members, consists of some of the best sourcing specialists, referral recruiters, database recruiters, account managers and Internet specialists in the industry.

Ace is also a certified Minority-Owned Business. And we are committed to creating a diverse workplace for our employees.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2392356943&distance=25&geoId=104116203&keywords=web%20developer&start=100
Vlocity Developer,Accenture,Seattle WC,Professional Services,,,,,"The Salesforce/Vlocity Developer is a key member of our Delivery organization in the US. In addition to being responsible for developing high performing solutions on the Salesforce platform, the Technical Consultant will provide insight in advanced business analysis, conduct needs assessments, configure apps as required, and also assist in key functions involving client and staff development, training and on-going client support. Focus would be on declarative solutions and understanding what is accomplished with out of the box functionality. The Technical Consultant has a get-up-and-go attitude with strong interpersonal & communication skills.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2392358738&distance=25&geoId=104116203&keywords=web%20developer&start=75
Senior Software Engineer - Analytics,Prime Team Partners,Seattle WC,Government Agency,,,,,"Our client's Data & Analytics Platform team is looking to add a Sr. Software Engineer to the team to help build distributed marketing data pipelines and APIs. We are not seeking a Data Engineer, but instead someone who is a strong Java Developer with AWS experience and a background building applications with heavy data processing / pipelining / ETL etc.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2392365725&geoId=104116203&keywords=software%20developer%20intern&location=Seattle%2C%20Washington%2C%20United%20States&start=175
Senior Ruby on Rails Developer,Jobot,Seattle WC,Recruiting and Staffing,,,,,We are a well-funded startup that offers a cutting-edge patient management platform. We support millions of patients and thousands of providers and we continue to grow at a rapid pace. Our team is currently looking to bring on a work from home Senior Ruby on Rails Software Developer / Senior Ruby on Rails Web Developer!,,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2392384058&distance=25&geoId=104116203&keywords=web%20developer&start=100
Senior Software Engineer,Big Fish Games,Seattle WC,Video games,,,,,"Big Fish Games is an innovative developer and world-class publisher of a diverse portfolio of casual game franchises, including Big Fish Casino, Gummy Drop, Fairway Solitaire, Jackpot Magic Slots and Cooking Craze. Founded in 2002, we serve millions of players every day and are dedicated to providing players with the opportunity to play, connect, compete and discover anywhere and on any device. We are dedicated to enhancing life through exceptional play.

Our four core beliefs are what makes working at Big Fish Games unique. ",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2392724277&distance=25&geoId=104116203&keywords=software%20developer%20intern&start=50
Senior Web Developer,Sohum Inc.,Seattle WC,Recruiting and Staffing,,,,,"The ideal candidate will help create a JavaScript web application in Electron that will delight and drive the business. 
This role will work very closely with visual designers and user experience experts to design a product that is both impactful and that provides a satisfying experience to millions of users.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2393612484&keywords=web%20developer%20in%20seattle%20washington
Backend Software Engineer - Senior,Gensler,Seattle WC,Architecture & Planning,,,,,"We are looking for a self-starte r who is  happy working independently or with a group. Someone who can  integrate and communicate fluidly with staff and client teams.  A developer that is organized, write s clean, concise, well documented code and is able to work on multiple projects concurrently.  And someone who is eager to explore emerging technologies and embrace s new challenges .",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2393662081&distance=25&geoId=104116203&keywords=software%20developer%20intern&start=200
Intern: Software Engineer (Summer 2021),The Climate Corporation,Seattle WC,Software & Tech Services,,,,,"The Climate Corporation is looking for talented and motivated Computer Science or Engineering students with solid CS and Programming fundamentals for several of our engineering teams. Our software helps farmers around the world protect and improve their farming operations with uniquely powerful software and hardware products. You will work as a Software Engineering intern on a team in one of several areas. As a Software Engineering intern, you will be responsible for designing, building, testing and deploying new products and services in a fast-paced, iterative development environment.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2393667243&geoId=104116203&keywords=software%20developer%20intern&location=Seattle%2C%20Washington%2C%20United%20States
Senior Software Engineer - Data Engineering,mParticle,Seattle WC,Internet,,,,,"We are seeking someone who wants to be a contributor in a small, dynamic work environment, loves a challenge, and has a strong balance of technical and people skills. As a Data Engineer, you will be a member of our backend engineering team and collaborate to help specify, design, and develop data pipelines/applications meeting company and product requirements. You will help evaluate and choose service protocols and architectures, write high quality, maintainable code in a fast-paced startup environment with tight schedules, and be fully responsible for ensuring quality and proper deployment of the written software.
Here at mParticle, everyone is equal. We believe strongly in our values and are looking for someone who demonstrates empathy and sincerity to all roles and teammates. Our clients include marketing and engineering functions for some of the largest apps in the world and our platform processes nearly one-third of the world’s smartphone traffic.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2394656699&distance=25&geoId=104116203&keywords=software%20developer%20intern&location=Seattle%2C%20Washington%2C%20United%20States&start=225
"Senior Software Engineer, Data Infrastructure",Grand Rounds,Seattle WC,Hospital & Health Care,,,,,"The Platform Engineering team is responsible for building cutting-edge infrastructure that supports the mission-critical components of our Cloud, Data and Machine Learning Platforms. As a member of GR’s Platform Engineering team, you will collaborate with Data Engineers, Data Scientists, and Product Engineers to leverage Spark, Airflow, Kubernetes and Kafka to design and ship the infrastructure that powers our Data and ML Platforms.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2394709071&distance=25&geoId=104116203&keywords=software%20developer%20intern&start=200
Senior Software Developer - Cloud Container,Wind River,Seattle WC,Computer Software,,,,,"Wind River Systems is seeking an experienced high-performing software engineer for a position developing a cloud-based platform for our Cloud Platform solution. The successful candidate will join a highly skilled development team delivering the world’s first telecom grade cloud platform, pioneering many new industry leading capabilities. Our Cloud Platform technology is currently deployed with major service providers globally and is undergoing expansion to provide a cloud native platform for containerized applications in addition to supporting virtual machines and bare metal nodes.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2394715357&distance=25&geoId=104116203&keywords=software%20developer%20intern
Sr. Software Engineer Fullstack (Docker Hub),Docker Inc.,Seattle WC,Software & Tech Services,,,,,"As a Senior FullStack Software Engineer in the Docker Hub team, you will build and enhance the user interface around the container registry to deliver a top tier experience for free and paid users of Docker Hub. You will play an active role in designing and developing APIs that front-end components leverage from micro services powering Docker Hub and develop a solid understanding of the Docker Hub backend services. You will be constantly seeking ways to improve CI/CD around the Docker Hub front end to ensure we maintain a high level of quality with a fast pace of delivery. Finally, you should be passionate about how developers’ lives could be made easier, and about Docker’s role in that.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2394723603&distance=25&geoId=104116203&keywords=software%20developer%20intern&start=225
Software Engineer Intern - EADP Marketplace,Electronic Arts (EA),Seattle WC,Video games,,,,,"Is to build our new cross-game, cross-platform digital economy platform. This large scale, always-on collection of RESTful services will power the virtual-economies of EA’s network of games that will be experienced by tens of millions of monthly active users. You'll have the opportunity to build sophisticated platform capabilities handling several hundred-thousand requests per second, and driving the player engagement of many of the industries most popular titles. You'll be able to build server-side systems that deliver new functionality within the larger Digital Platform, as well as work on regular improvements to the systems to keep them at top notch performance.

As a Software Engineer Intern, your primary responsibility will be to work collaboratively with a team of engineers to plan and execute on the software design and architecture of our new systems. Most of your time will be spent developing features and optimizing performance, robustness, and scalability of server systems. You will also spend time working with product managers to innovate new features to support EA's many games and reduce technical debt associated with legacy systems through innovation and automation. Additionally, you will be a champion for best practices within the engineering team.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2394761038&distance=25&geoId=104116203&keywords=software%20developer%20intern
Senior Software Developer - Client Playback Platform,Hulu,Seattle WC,Internet,,,,,"Hulu’s Client Playback Platform team is seeking a Senior Software Developer who will be an exceptional addition to our team. As a member of our team, you will be working on best in class media streaming and advertising experiences in our Hulu apps. The right person for this role loves to code and debug hard problems, loves creating new experiences for passionate TV viewers, and loves working with other. If you are someone who enjoys working on projects that have millions of customers and enjoys having direct impact on their experiences, then this is a great role for you.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2394773525&geoId=104116203&keywords=software%20developer%20intern&location=Seattle%2C%20Washington%2C%20United%20States&start=175
Lead Frontend Developer,Robert Half,Seattle WC,Recruiting and Staffing,,,,,"Robert Half Technology matches IT professionals with remote or on-site jobs on a temporary, project or full-time basis. From roles in software and applications to IT infrastructure and operations, we provide you unparalleled access to exciting career opportunities.

Our experienced staffing professionals can promote you to employers and advocate on your behalf. We provide access to top jobs, competitive compensation and benefits, and free online training. For more opportunities, get the Robert Half app and receive instant notifications when our AI matches you with jobs.

When you work with us, you’re working with the best. Robert Half has been recognized as one of FORTUNE’s “Most Admired Companies” every year since 1998 and was named to Forbes’ inaugural list of America’s Best Temporary Staffing Firms.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2395601471&geoId=104116203&keywords=web%20developer&location=Seattle%2C%20Washington%2C%20United%20States&start=25
"Senior Software Engineer, AWS Sagemaker Core Platform",Amazon Web Services,Seattle WC,Software & Tech Services,,,,,"Interested in making an impact on the Machine Learning and AI ecosystem? As an SDE on the Amazon SageMaker Studio Core Platform team, you’ll own the core platform (control plane and data plane) for various interactive applications (e.g. JupyterLab). Our team's mission is to enable any interactive application to scale reliably and securely so any data scientist, developer, or student can launch a wholly configured and collaborative workspace in the cloud. You will work in the company of world experts and there are immense learning opportunities.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2395858140&distance=25&f_L=Seattle%2C%20Washington%2C%20United%20States&geoId=104116203&keywords=software%20developer%20intern&location=Seattle%2C%20Washington%2C%20United%20States&start=975
Software Developer I,Lynden Incorporated,Seattle WC,Building Materials,,,,,"Lynden Incorporated, a Transportation and Logistics Company, is seeking a Software Developer who will be responsible for gathering requirements, designing, coding, testing and supporting application software. We want someone who is realistic about software design decisions; someone with self-discipline who enjoys owning their challenges, getting the job done, and moving on to the next challenge.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2396193083&distance=25&geoId=104116203&keywords=software%20developer&location=Seattle%2C%20Washington%2C%20United%20States
Senior Frontend Developer,HBO,Seattle WC,Entertainment,,,,,"As a Senior Staff Frontend Engineer on WarnerMedia’s Player Experience team, you will build and support full-stack components for our streaming video applications. You will own the entire Video Advertising user experience, including core player interface, beaconing, and integrated ad content. You’ll also lead behind the scenes efforts to improve quality of experience via telemetry and data analysis, and guide our overall platform by spreading architectural improvements throughout the organization.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2396758655&keywords=web%20developer%20in%20seattle%20washington
Senior Frontend Software Engineer,NanoString Technologies Inc.,Seattle WC,Internet,,,,,"They is responsible for creating engaging customer experiences using a variety of technologies including Angular 8+, Material Design, Web Api (Net core 3.1+), PostgreSQL, Windows Services, and container technology such as Windows Containers and Docker. The ideal candidate is self-directed , articulate, and possesses expert level knowledge of modern web development practices an d technologies.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2396949697&distance=25&geoId=104116203&keywords=software%20developer%20intern&start=225
Solution Architect - Java,E - Solutions,Seattle WC,Recruiting and Staffing,,,,,The Senior Solution Architect needs to have the technical chops to roll up their sleeves and provide technical leadership to multiple cross-functional projects from inception to delivery.,,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2397051866&distance=25&geoId=104116203&keywords=web%20developer&start=175
Web CMS Developer Specialist,Brainrider,Seattle WC,B2B Marketing Agency,,,,,"As a member of our client’s in-house B2B digital marketing team, you'll work on high traffic, high visibility global B2B marketing websites everyday. The pace is fast, the culture is collaborative, and the quality standards are high.
In this role, through your strong communication and interpersonal skills, you'll build relationships and work seamlessly with both technical and non-technical teams.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2397562775&distance=25&geoId=104116203&keywords=web%20developer&start=50
Senior Software Engineer,Critigen,Seattle WC,Consulting Firm,,,,,"We are looking for an ingenious Developer who has a passion for map data, to join us in devising creative solutions to solve our clients’ challenges. This position requires a minimum of 5 years of experience and the ability to lead initiatives and coach junior team members.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2397601527&distance=25&f_L=Seattle%2C%20Washington%2C%20United%20States&geoId=104116203&keywords=software%20developer%20intern&location=Seattle%2C%20Washington%2C%20United%20States&start=400
Sr. Software Engineer - Platform,Algorithmia,Seattle WC,Enterprise Software & Network Solutions,,,,,"Due to unprecedented growth, we're hiring Senior Software Engineers to participate in the design and development of the underlying Algorithmia platform. You will join a passionate, remote-friendly team delivering a platform that already supports over 80k engineers and processes millions of AI and ML workloads. We work with Scala, Docker, Kubernetes, large-scale distributed systems, modern microservices architecture, and cutting-edge cloud infrastructure on AWS, Azure, and on-premises with VMWare. We offer our engineers an unparalleled opportunity to learn, grow, and impact an enormous user community.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2398073488&distance=25&geoId=104116203&keywords=software%20developer%20intern&location=Seattle%2C%20Washington%2C%20United%20States&start=250
Front End Web Developer Word Press,SERP Co.,Seattle WC,Marketing and Advertising,,,,,"SunIRef:it SERP Co. is looking to hire a Front End Web Developer - WordPress. Mission: The mission for the Web Developer is to thoroughly understand the client's goals, business goals & project goals and so they can have a holistic picture of the website's purpose. It is important to understand the purpose so the web developer can think critically about how to design and build the project to bring about the desired results the client wishes to accomplish and maximize success for accomplishing the objectives in the shortest amount of time and the utmost quality. All images are added with alt-text & optimized for size and load speed.  Clean coded website - readability, changeability, extensibility and maintainability is a must. Other developers should be able to read and understand your code easilyTroubleshoot code problems and conduct QA for all development projects (including those related to cross-browser/cross-platform compatibility, mobile responsiveness, etc.) Ability to multitask, organize and meet deadlines Maintain well-documented, reusable, and transferrable code To be considered for this job. Please fill out the application to move to the next step in the application process:",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2398079310&distance=25&geoId=104116203&keywords=web%20developer&start=50
Senior Software Development Engineer,"Woot, Inc.",Seattle WC,Enterprise Software & Network Solutions,,,,,"We’re looking for an experienced engineer who can bring their unique perspectives to help grow the team’s processes and architecture, so that our quality, velocity, supportability, and customer experience grows with our growing business. Listening, collaborating, empathizing, obsessing about our customers, and digging into the details are all key qualities in a candidate.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2398186241&distance=25&geoId=104116203&keywords=software%20developer%20intern&start=75
Web Developer,PK,Seattle WC,Consulting Firm,,,,,"PK is looking for a full time Web Developer in our Seattle, WA office.
Write well designed, testable, efficient code by using best software development practices.
Create website layout/user interface by using standard HTML/CSS practices",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2399136026&geoId=104116203&keywords=web%20developer&location=Seattle%2C%20Washington%2C%20United%20States
Web CMS Developer Specialist,Colwen Hotels,Seattle WC,Hotel,,,,,"As a member of our client’s in-house B2B digital marketing team, you'll work on high traffic, high visibility global B2B marketing websites everyday. The pace is fast, the culture is collaborative, and the quality standards are high.

In this role, through your strong communication and interpersonal skills, you'll build relationships and work seamlessly with both technical and non-technical teams.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2399702271&distance=25&geoId=104116203&keywords=web%20developer&start=50
Senior Software Engineer,Novalink Solution LLC,Seattle WC,Video games,,,,,"The District is looking for (2) Senior Software Engineers (full stack) to help design, build, customize, and maintain enterprise-level applications, including commercial off-the-self (COTS) applications.
Design, build, customize, and maintain enterprise-level applications, including commercial off-the-self (COTS) applications. Works under general direction to create automated application solutions to meet business needs. Performs testing, troubleshooting and debugging of application throughout the development process.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2400278158&distance=25&geoId=104116203&keywords=software%20developer%20intern&location=Seattle%2C%20Washington%2C%20United%20States&start=250
